train_loss,test_loss
0.0019427276884768313,0.04454166793823242
0.00045827037146906757,0.029947115325927736
0.0002137432914357002,0.028136851215362548
0.00010614571785624018,0.030191556930541992
5.230587357476679e-05,0.02935318660736084
3.643978150402063e-05,0.031666806602478025
2.6203738777545974e-05,0.032007890510559085
2.1001581576081206e-05,0.03305404930114746
1.766371624397607e-05,0.03354271602630615
1.568335502288818e-05,0.03388933613300323
1.4483296065928167e-05,0.034174921989440915
1.351100251604104e-05,0.03433621635437012
1.2972413372010767e-05,0.034450965881347655
1.2691207952470288e-05,0.03455772571563721
