train_loss,test_loss
0.001858036434650421,1.2983904352188111
0.0007724010586738587,0.4787937951246897
0.00041401768624782563,0.2614353640317917
0.0003141991674900055,0.21787687442302703
0.0002729746252298355,0.19949757328430812
0.0002418865278363228,0.18834697368939718
0.00022339674979448317,0.18149260379076004
0.00021604083776473998,0.17660042168299356
0.00020133253931999207,0.17334139288663863
0.0002068774864077568,0.17036694227258364
0.000204819355905056,0.1692883241613706
0.0001966069683432579,0.16830124395489693
0.00020081645250320435,0.16756097139716147
0.00019900364726781845,0.16703303934534391
