train_loss,test_loss
0.001805393934249878,1.4638537521362305
0.0006527349174022674,0.44322784080505373
0.00026464324444532396,0.25577632773717246
0.00019473704546689986,0.22860331897735595
0.00016938467025756835,0.20908396703402202
0.00015121361687779427,0.19726752967834474
0.00013989281505346298,0.19098356774648031
0.00013246382549405097,0.18572069896062215
0.000127350365370512,0.18272504269282022
0.00012381811812520028,0.1807464053471883
0.00012131741866469383,0.17928617027600607
0.00011967550665140152,0.178359823290507
0.00011845562085509301,0.17760548988978067
0.00011758618652820587,0.1770642307917277
